,precision,recall,f1-score,support,acc
0,,,,,0.74
1,,,,,0.5466666666666666
2,,,,,0.4695121951219512
3,,,,,0.6666666666666666
4,,,,,0.09375
5,,,,,0.9172413793103448
6,,,,,0.3575757575757576
7,,,,,0.8789808917197452
8,,,,,0.8220858895705522
9,,,,,0.8791946308724832
10,,,,,0.688622754491018
11,,,,,0.6818181818181818
12,,,,,0.6774193548387096
IfcColumn,0.7687861271676301,0.9172413793103448,0.8364779874213837,145.0,
IfcDistributionControlElement,0.49333333333333335,0.74,0.592,150.0,
IfcDoor,0.7486033519553073,0.8220858895705522,0.783625730994152,163.0,
IfcFlowController,0.6356589147286822,0.5466666666666666,0.5878136200716846,150.0,
IfcFlowFitting,0.41397849462365593,0.4695121951219512,0.43999999999999995,164.0,
IfcFlowSegment,0.5683060109289617,0.6666666666666666,0.6135693215339232,156.0,
IfcFlowTerminal,0.75,0.09375,0.16666666666666666,160.0,
IfcFurnishingElement,0.6781609195402298,0.3575757575757576,0.4682539682539682,165.0,
IfcRailing,0.6140350877192983,0.6774193548387096,0.6441717791411042,155.0,
IfcSlab,0.6390243902439025,0.8791946308724832,0.7401129943502824,149.0,
IfcStair,0.700507614213198,0.8789808917197452,0.7796610169491527,157.0,
IfcWall,0.8455882352941176,0.688622754491018,0.7590759075907592,167.0,
IfcWindow,0.7291666666666666,0.6818181818181818,0.7046979865771812,154.0,
accuracy,0.6432432432432432,0.6432432432432432,0.6432432432432432,0.6432432432432432,
macro avg,0.660396088185768,0.6476564898963135,0.6243174599654046,2035.0,
weighted avg,0.6610145477640041,0.6432432432432432,0.621924884036062,2035.0,
