,IfcDistributionControlElement,IfcFlowController,IfcFlowFitting,IfcFlowSegment,IfcFlowTerminal,IfcColumn,IfcFurnishingElement,IfcStair,IfcDoor,IfcSlab,IfcWall,IfcWindow,IfcRailing
IfcDistributionControlElement,98,19,13,14,1,1,0,1,0,2,5,0,1
IfcFlowController,0,161,3,0,0,0,2,0,0,0,0,0,7
IfcFlowFitting,12,62,21,9,0,0,10,14,0,3,6,1,1
IfcFlowSegment,4,16,4,51,7,24,1,1,0,14,0,0,45
IfcFlowTerminal,12,35,3,2,30,1,10,23,1,8,5,6,29
IfcColumn,2,0,0,1,0,138,1,0,0,0,1,0,1
IfcFurnishingElement,24,6,8,1,2,9,38,25,0,14,12,5,9
IfcStair,0,0,0,0,9,0,1,138,0,10,0,0,7
IfcDoor,3,2,0,0,1,2,0,6,123,0,0,7,13
IfcSlab,1,1,0,2,2,0,1,9,0,143,3,0,0
IfcWall,0,0,0,1,3,16,0,2,1,0,129,3,1
IfcWindow,1,3,1,0,1,1,8,16,14,0,6,95,9
IfcRailing,1,6,0,1,0,4,0,5,0,0,5,0,122
