,IfcDuctSegment,IfcAirTerminal,IfcBeam,IfcCableCarrierFitting,IfcCableCarrierSegment,IfcDuctFitting,IfcFurniture,IfcStair,IfcDoor,IfcSlab,IfcWall,IfcLamp,IfcRailing,IfcOutlet,IfcPipeFitting,IfcPipeSegment,IfcPlate,IfcSanitaryTerminal,IfcSpaceHeater,IfcValve
IfcDuctSegment,0.0547945205479452,0.0,0.0,0.0,0.0547945205479452,0.0136986301369863,0.0,0.0,0.0,0.0410958904109589,0.0273972602739726,0.0,0.0,0.0,0.5068493150684932,0.1917808219178082,0.0547945205479452,0.0547945205479452,0.0,0.0
IfcAirTerminal,0.0,0.23140495867768596,0.0,0.0,0.008264462809917356,0.008264462809917356,0.0,0.0,0.049586776859504134,0.09090909090909091,0.0,0.0,0.0,0.0,0.0743801652892562,0.008264462809917356,0.024793388429752067,0.5041322314049587,0.0,0.0
IfcBeam,0.0,0.0,0.10526315789473684,0.0,0.3157894736842105,0.0,0.0,0.0,0.05263157894736842,0.15789473684210525,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.05263157894736842,0.21052631578947367,0.0,0.0
IfcCableCarrierFitting,0.0,0.10144927536231885,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.10144927536231885,0.0,0.0,0.0,0.0,0.4492753623188406,0.0,0.014492753623188406,0.2463768115942029,0.0,0.0
IfcCableCarrierSegment,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0,0.6237623762376238,0.0,0.0,0.0,0.019801980198019802,0.19801980198019803,0.0,0.0,0.0297029702970297,0.0,0.0297029702970297,0.039603960396039604,0.009900990099009901,0.019801980198019802,0.0,0.0
IfcDuctFitting,0.0,0.06153846153846154,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.03076923076923077,0.0,0.0,0.0,0.4153846153846154,0.0,0.07692307692307693,0.4,0.0,0.0
IfcFurniture,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.8636363636363636,0.0,0.0
IfcStair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0
IfcDoor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.013392857142857142,0.0,0.0,0.0,0.0,0.022321428571428572,0.0,0.0
IfcSlab,0.01436265709156194,0.0017953321364452424,0.0,0.0,0.003590664272890485,0.0,0.0,0.0,0.0,0.9497307001795332,0.0,0.0,0.0017953321364452424,0.0,0.00718132854578097,0.0,0.012567324955116697,0.008976660682226212,0.0,0.0
IfcWall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11475409836065574,0.0,0.01639344262295082,0.0,0.0,0.0,0.06557377049180328,0.01639344262295082,0.7377049180327869,0.04918032786885246,0.0,0.0
IfcLamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
IfcRailing,0.0,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.0,0.0,0.10204081632653061,0.02040816326530612,0.0,0.0,0.30612244897959184,0.0,0.0,0.0,0.0,0.5102040816326531,0.0,0.0
IfcOutlet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0
IfcPipeFitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7831325301204819,0.0,0.0,0.21686746987951808,0.0,0.0
IfcPipeSegment,0.0,0.0,0.0,0.0,0.25609756097560976,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.024390243902439025,0.0,0.45121951219512196,0.21951219512195122,0.0,0.024390243902439025,0.0,0.0
IfcPlate,0.008695652173913044,0.0,0.0,0.0,0.030434782608695653,0.0,0.0,0.0,0.034782608695652174,0.3130434782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.6043478260869565,0.008695652173913044,0.0,0.0
IfcSanitaryTerminal,0.0,0.007633587786259542,0.0019083969465648854,0.0,0.0,0.0,0.0,0.0,0.009541984732824428,0.02099236641221374,0.0,0.0,0.011450381679389313,0.0,0.10114503816793893,0.007633587786259542,0.0,0.8396946564885496,0.0,0.0
IfcSpaceHeater,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.14814814814814814,0.0,0.2222222222222222,0.1111111111111111,0.07407407407407407,0.07407407407407407,0.0,0.0
IfcValve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.9473684210526315,0.0,0.0
